gid,Name,description,Type,Address,Phone_Number,Website,Email,School_Type
1,École Catholique Cathédrale,,Elementary,"301 Johnson Street, Kingston",613-546-7555,www.alcdsb.on.ca/school/ecth,flhpecth@alcdsb.on.ca,"Kindergarten - Grade 8, French Immersion "
2,École Catholique Cathédrale Early Years Campus,,Elementary,"48 Seventh Avenue, Kingston",613-542-3691,www.alcdsb.on.ca/school/ecth,flhpecth@alcdsb.on.ca,Year 1 and Year 2 Kindergarten
3,Georges Vanier Catholic School,,Elementary,"100 Tracey Street, Belleville",613-962-7541,www.alcdsb.on.ca/school/gvan,flhpgvan@alcdsb.on.ca,Kindergarten- Grade 8 
4,Holy Name Catholic School,,Elementary,"370 Kingston Mills Road, Kingston",613-542-8611,www.alcdsb.on.ca/school/name,flhpname@alcdsb.on.ca,Kindergarten-Grade 8 
5,Holy Name of Mary Catholic School,,Elementary,"7314 Old Highway #2, Marysville",613-396-2741,www.alcdsb.on.ca/school/namm,flhpnamm@alcdsb.on.ca,Kindergarten- Grade 8 
6,Holy Rosary Catholic School,,Elementary,"10 Prince of Wales Drive, Belleville",613-962-2305,www.alcdsb.on.ca/school/rosa,flhprosa@alcdsb.on.ca,Kindergarten- Grade 8 
7,J J O'Neill Catholic School,,Elementary,"240 Marilyn Avenue, Napanee",613-354-9500,www.alcdsb.on.ca/school/jjon,flhpjjon@alcdsb.on.ca,Kindergarten- Grade 8 
8,Mother Teresa Catholic School,,Elementary,"1044 Lancaster Drive, Kingston",613-384-8644,www.alcdsb.on.ca/school/trsa,flhptrsa@alcdsb.on.ca,Kindergarten - Grade 8
9,Our Lady of Fatima Catholic School,,Elementary,"300 Sidney Street, Belleville ",613-962-2162,www.alcdsb.on.ca/school/ofat,flhpofat@alcdsb.on.ca,Kindergarten- Grade 8 
10,Our Lady of Lourdes Catholic School,,Elementary,"20 Cranbrook Street, Kingston",613-389-2800,www.alcdsb.on.ca/school/olol,flhpolol@alcdsb.on.ca,Kindergarten - Grade 8
