gid,Name,description,Address,Phone_Number,Website,Email,School_Type,Family_of_School
1,Amherst Island Public School,"Address: 5955 Front Rd, Stella, ON<br>Phone Number: 613-389-4582<br>Website: https://amherstisland.limestone.on.ca/<br>Email: amsti@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: Ernestown SS Family","5955 Front Rd, Stella, ON",613-389-4582,https://amherstisland.limestone.on.ca/,amsti@limestone.on.ca,JK - Grade 8,Ernestown SS Family
2,Amherstview Public School,"Address: 70 Fairfield Blvd, Amherstview<br>Phone Number: 613-389-0628<br>Website: https://amherstviewps.limestone.on.ca/<br>Email: amstv@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: Ernestown SS Family","70 Fairfield Blvd, Amherstview",613-389-0628,https://amherstviewps.limestone.on.ca/,amstv@limestone.on.ca,JK - Grade 8,Ernestown SS Family
3,Bath Public School,"Address: 247 Church St, Bath, ON<br>Phone Number: 613-352-7543<br>Website: https://bath.limestone.on.ca/<br>Email: bathp@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: Ernestown SS Family","247 Church St, Bath, ON",613-352-7543,https://bath.limestone.on.ca/,bathp@limestone.on.ca,JK - Grade 8,Ernestown SS Family
4,Bayridge Public School,"Address: 1066 Hudson Dr, Kingston<br>Phone Number: 613-389-6900<br>Website: https://bayridgeps.limestone.on.ca/<br>Email: bayri@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: Bayridge SS Family","1066 Hudson Dr, Kingston",613-389-6900,https://bayridgeps.limestone.on.ca/,bayri@limestone.on.ca,JK - Grade 8,Bayridge SS Family
5,Calvin Park Public School,"Address: 153 Van Order Dr, Kingston<br>Phone Number: 613-542-2796<br>Website: https://calvinpark.limestone.on.ca/<br>Email: calvp@limestone.on.ca<br>School Type: Grades 7 - 8<br>Family of School: LCVI Family","153 Van Order Dr, Kingston",613-542-2796,https://calvinpark.limestone.on.ca/,calvp@limestone.on.ca,Grades 7 - 8,LCVI Family
6,Cataraqui Woods Elementary School,"Address: 1255 Birchwood Drive, Kingston<br>Phone Number: 613-634-4995<br>Website: https://catwoods.limestone.on.ca/<br>Email: catar@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: Bayridge SS Family","1255 Birchwood Drive, Kingston",613-634-4995,https://catwoods.limestone.on.ca/,catar@limestone.on.ca,JK - Grade 8,Bayridge SS Family
7,Centennial Public School,"Address: 120 Norman Rogers Drive, Kingston<br>Phone Number: 613-546-5517<br>Website: https://centennial.limestone.on.ca/<br>Email: cente@limestone.on.ca<br>School Type: JK - Grade 6<br>Family of School: LCVI Family","120 Norman Rogers Drive, Kingston",613-546-5517,https://centennial.limestone.on.ca/,cente@limestone.on.ca,JK - Grade 6,LCVI Family
8,Central Public School,"Address: 237 Sydenham St., Kingston<br>Phone Number: 613-546-9454<br>Website: https://centralps.limestone.on.ca/<br>Email: centr@limestone.on.ca<br>School Type: JK - Grade 6<br>Family of School: KSS Family","237 Sydenham St., Kingston",613-546-9454,https://centralps.limestone.on.ca/,centr@limestone.on.ca,JK - Grade 6,KSS Family
9,Centreville Public School,"Address: 623 McGill Street, Centreville<br>Phone Number: 613-378-2578<br>Website: https://centreville.limestone.on.ca/<br>Email: ctrvl@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: Napanee District Family","623 McGill Street, Centreville",613-378-2578,https://centreville.limestone.on.ca/,ctrvl@limestone.on.ca,JK - Grade 8,Napanee District Family
10,Clarendon Central Public School,"Address: 7356 Highway 506, Plevna<br>Phone Number: 613-479-2264<br>Website: https://clarendon.limestone.on.ca/<br>Email: clarc@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: NAEC Family","7356 Highway 506, Plevna",613-479-2264,https://clarendon.limestone.on.ca/,clarc@limestone.on.ca,JK - Grade 8,NAEC Family
11,Collins Bay Public School,"Address: 4075 Bath Road, Kingston             <br>Phone Number: 613-389-0500<br>Website: https://collinsbay.limestone.on.ca/<br>Email: collb@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: Frontenac SS Family","4075 Bath Road, Kingston             ",613-389-0500,https://collinsbay.limestone.on.ca/,collb@limestone.on.ca,JK - Grade 8,Frontenac SS Family
12,École Kingston East Elementary School,"Address: 529 Saint Martha Street, Kingston<br>Phone Number: 613-650-5478<br>Website: https://kees.limestone.on.ca/<br>Email: kees@limestone.on.ca<br>School Type: JK - Grade 6, French Immersion<br>Family of School: LaSalle SS Family","529 Saint Martha Street, Kingston",613-650-5478,https://kees.limestone.on.ca/,kees@limestone.on.ca,"JK - Grade 6, French Immersion",LaSalle SS Family
13,Elginburg and District Public School,"Address: 2100 Unity Road, Elginburg<br>Phone Number: 613-542-8387<br>Website: https://elginburg.limestone.on.ca/<br>Email: elgin@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: Sydenham HS Family","2100 Unity Road, Elginburg",613-542-8387,https://elginburg.limestone.on.ca/,elgin@limestone.on.ca,JK - Grade 8,Sydenham HS Family
14,Enterprise Public School ,"Address: 76 School Road, Enterprise, ON<br>Phone Number: 613-358-2011<br>Website: https://enterpriseps.limestone.on.ca/<br>Email: entpr@limestone.on.ca<br>School Type: JK - Grade 8<br>Family of School: Napanee District Family","76 School Road, Enterprise, ON",613-358-2011,https://enterpriseps.limestone.on.ca/,entpr@limestone.on.ca,JK - Grade 8,Napanee District Family
